treatment,Y
toe,3.86631
toe,6.548582
toe,8.242909
toe,8.287815
toe,7.209158
toe,6.710096
toe,8.18468
toe,11.172467
toe,18.436411
toe,27.752588
toe,33.980537
toe,32.663576
toe,28.144324
toe,24.828419
toe,20.868105
toe,17.380507
toe,15.405664
toe,13.904735
toe,12.101884
toe,9.966724
toe,7.738458
toe,5.805976
toe,4.63092
toe,4.441713
toe,4.715943
toe,4.626878
toe,3.80389
toe,2.359394
toe,0.727787
toe,-0.786914
toe,-2.075135
toe,-2.765499
toe,-3.052602
toe,-2.578987
toe,-1.056802
toe,1.123264
toe,3.113675
toe,4.901407
toe,6.579268
toe,7.403904
