n,Yheel,Ytoe
962,2.505639,7.929461
963,1.467399,8.472531
964,0.489632,7.829169
965,-0.404908,8.798703
966,-1.105751,11.629915
967,-1.719175,13.869408
968,-1.724564,18.32624
969,-1.348097,28.258985
970,-0.75009,39.790106
971,0.021405,34.196538
972,0.664019,25.333618
973,1.841471,17.557289
974,3.349734,13.189073
975,4.373006,9.823921
976,5.018763,7.451355
977,6.481821,6.277945
978,9.822574,6.50637
979,14.20052,7.323371
980,18.727256,8.45891
981,22.611679,8.866063
982,23.99121,8.135881
983,22.942491,6.02078
984,21.150268,3.275339
985,19.800076,0.696651
986,19.200423,-1.223107
987,19.225421,-2.704875
988,18.916014,-3.51529
989,18.25424,-3.652255
990,17.344582,-2.488425
991,16.011005,-0.824635
992,14.241535,0.796045
993,11.907738,2.874023
994,9.269624,4.958589
995,6.920409,6.565946
996,5.288053,7.0207
997,4.317172,6.77566
998,3.987109,5.857918
999,3.910468,4.825216
1000,3.387306,7.002139
